,index,target
683,18807,0.0995089805769502
5336,15040,0.1265327022034669
7273,12186,0.3333229198672467
8228,13012,0.11830809127365748
6045,14628,0.155906312667072
11214,16884,0.11830809127365748
13831,18947,0.10655864708821543
6854,13176,0.10655864708821543
8744,2665,0.13358236871473214
7724,1252,0.4543421949772996
10730,1491,0.36739630800502865
2603,17674,0.14533181290017416
11764,15746,0.10185886941403863
420,11510,0.4543421949772996
8376,9290,0.10655864708821543
8851,7198,0.13828214638890896
1039,907,0.10655864708821543
1017,322,0.10655864708821543
8134,12432,0.4543421949772996
13342,14275,0.4543421949772996
9457,5599,0.0842347031358757
11072,4538,0.1829300342935887
13573,15540,0.11830809127365748
12089,14236,0.2863251431254785
2859,12507,0.36739630800502865
7375,246,0.0995089805769502
3028,17933,0.13358236871473214
13780,16483,0.0842347031358757
4143,12007,0.10655864708821543
4793,12403,0.10655864708821543
3253,14353,0.10185886941403863
13684,15432,0.10655864708821543
5038,7139,0.4543421949772996
7216,11158,0.13475731313327646
3168,12542,0.11830809127365748
11426,2147,0.11830809127365748
11677,6248,0.31452380917053946
6974,5958,0.0995089805769502
3258,16637,0.1488566461558068
10794,679,0.0995089805769502
11062,11521,0.10655864708821543
3260,14477,0.36739630800502865
5365,6547,0.11478325801802487
5832,9049,0.155906312667072
3922,4613,0.13828214638890896
2475,8142,0.3015994205665532
12588,16065,0.4543421949772996
9924,13638,0.36739630800502865
7066,1935,0.0842347031358757
9823,11134,0.0995089805769502
7730,3794,0.10655864708821543
11109,4921,0.10185886941403863
10298,2879,0.24285219963934299
6625,10612,0.11830809127365748
11568,11659,0.10655864708821543
4080,15057,0.4543421949772996
13260,2831,0.11830809127365748
5003,12267,0.10655864708821543
4946,11165,0.6082599138065903
12282,677,0.10185886941403863
8366,17966,0.11478325801802487
7084,4152,0.4543421949772996
2126,7344,0.14180697964454156
5323,6790,0.32039853126326046
2284,4141,0.1829300342935887
12506,13385,0.27575064335858085
11509,14616,0.0995089805769502
12644,14690,0.13358236871473214
6898,17519,0.0842347031358757
2333,15968,0.11830809127365748
12200,14447,0.10655864708821543
3417,11039,0.10185886941403863
4461,17421,0.10655864708821543
7421,11279,0.11830809127365748
6422,805,0.32039853126326046
13765,1635,0.2875000875440229
2089,9208,0.0995089805769502
5849,17915,0.10655864708821543
11269,18234,0.2921998652181996
5453,1527,0.0842347031358757
8709,8270,0.11478325801802487
11490,5500,0.10655864708821543
1931,17250,0.10655864708821543
8808,18761,0.4543421949772996
4672,10482,0.10303381383258282
10432,10835,0.36739630800502865
2308,17683,0.31452380917053946
8257,842,0.10655864708821543
3199,14742,0.4543421949772996
9979,10050,0.13358236871473214
9851,14642,0.2452020884764314
7454,3085,0.4543421949772996
11391,3164,0.24285219963934299
8568,11057,0.10655864708821543
3850,4305,0.10655864708821543
9294,18762,0.10655864708821543
13834,6203,0.5683118035760872
13545,11264,0.4543421949772996
4851,2445,0.10655864708821543
5645,18930,0.17000564568960247
9415,16188,0.4543421949772996
2657,10576,0.14533181290017416
6239,7637,0.07248525895043365
1975,3453,0.11830809127365748
2409,310,0.10655864708821543
2092,9750,0.10655864708821543
9885,9153,0.1488566461558068
13860,12950,0.0995089805769502
6678,13056,0.10655864708821543
7598,15073,0.17118059010814668
294,18936,0.24285219963934299
8035,7569,0.0995089805769502
4973,16195,0.10655864708821543
7993,15190,0.13123247987764372
4926,11983,0.0995089805769502
9494,15061,0.4543421949772996
154,256,0.2921998652181996
10395,757,0.24285219963934299
9675,15688,0.4543421949772996
10438,16736,0.10655864708821543
5890,16010,0.31804864242617203
5915,13424,0.4543421949772996
1015,5850,0.0842347031358757
14102,11135,0.10655864708821543
8227,17139,0.10655864708821543
9053,338,0.1829300342935887
3982,8448,0.0995089805769502
431,3842,0.10655864708821543
