,index,target
3567,13822,0.13762825018439756
947,14433,0.4530907034148619
1164,17290,0.10596473257390483
2213,12620,0.10596473257390483
13060,13833,0.10596473257390483
1498,17588,0.10127384107605407
4466,1318,0.09892839532712867
12893,2593,0.4530907034148619
13504,3544,0.10596473257390483
13845,1600,0.10596473257390483
13614,18683,0.1118283469462183
11683,3590,0.11769196131853177
1584,3281,0.10596473257390483
4333,17539,0.0836829979591138
9429,4528,0.5058632327656831
10375,5082,0.11769196131853177
1163,13675,0.10596473257390483
3345,3899,0.3663092107046227
7751,5318,0.10596473257390483
11000,9370,0.4530907034148619
9507,16088,0.4530907034148619
8986,14468,0.1329373586865468
3199,14742,0.4530907034148619
4167,17880,0.10596473257390483
9916,13930,0.11769196131853177
1110,3351,0.24434603176050254
8841,8692,0.4530907034148619
5071,9460,0.14466458743117372
5132,6727,0.1329373586865468
2608,2352,0.10596473257390483
13064,11256,0.10596473257390483
12107,16965,0.4530907034148619
6784,284,0.15521909330133798
9259,500,0.09892839532712867
7928,2931,0.0836829979591138
8296,3500,0.10596473257390483
1312,6031,0.10596473257390483
11284,3822,0.10010111820159136
13355,3740,0.0836829979591138
6122,2834,0.10596473257390483
9357,3803,0.0836829979591138
7309,11077,0.10596473257390483
14334,16386,0.11769196131853177
11797,1070,0.4530907034148619
995,5733,0.4530907034148619
9722,1718,0.10596473257390483
12237,9024,0.21502795989893522
5727,14706,0.10596473257390483
10104,13341,0.24200058601157715
1642,13590,0.3768637165747868
3301,13956,0.31353668135380147
2001,5912,0.18219171941397994
4740,13146,0.10596473257390483
4403,5650,0.10596473257390483
4301,11961,0.10596473257390483
12519,11946,0.10596473257390483
12645,8415,0.31353668135380147
6923,18206,0.5398721961251011
5119,6998,0.11769196131853177
14122,13673,0.10596473257390483
2704,18949,0.10596473257390483
11610,15399,0.10596473257390483
3879,12251,0.11769196131853177
3390,9044,0.3850727766960257
13290,3510,0.4530907034148619
8743,9962,0.10596473257390483
7273,12186,0.3323002473452046
1196,16979,0.10596473257390483
11476,15036,0.10596473257390483
10968,16204,0.10596473257390483
10487,4371,0.10596473257390483
12488,9114,0.1305919129376214
11296,9608,0.5058632327656831
11962,1334,0.5398721961251011
8351,4966,0.4530907034148619
13151,45,0.4530907034148619
13606,5987,0.1118283469462183
12627,11416,0.3323002473452046
6414,9035,0.13411008156100962
7400,13808,0.33816386171751806
2413,18294,0.4530907034148619
2004,59,0.28539133236669684
5070,6629,0.10596473257390483
13670,13429,0.09892839532712867
833,8433,0.4530907034148619
8792,875,0.10596473257390483
5043,4137,0.11769196131853177
13346,18257,0.11417379269514369
1200,6213,0.14466458743117372
12406,16109,0.10596473257390483
7369,3037,0.30063672973471184
851,9220,0.10596473257390483
10108,17765,0.10596473257390483
9793,16723,0.09892839532712867
12787,10901,0.10596473257390483
4584,4053,0.30063672973471184
4090,9381,0.3768637165747868
7904,17437,0.4530907034148619
3033,7487,0.10596473257390483
6101,2755,0.30063672973471184
5150,7579,0.4530907034148619
13511,13631,0.4530907034148619
14046,13394,0.13411008156100962
3419,1780,0.10127384107605407
11665,7666,0.4530907034148619
9697,14736,0.1481827560545618
1964,17727,0.14114641880778564
14,17676,0.24434603176050254
3342,16924,0.4530907034148619
6972,16996,0.25959142912851757
13428,2343,0.18219171941397994
12866,5245,0.4530907034148619
4202,16588,0.11769196131853177
7722,7657,0.15521909330133798
5906,7494,0.11769196131853177
6546,1085,0.10596473257390483
11664,8130,0.21150979127554725
5847,12990,0.10596473257390483
5574,7529,0.10244656395051675
12637,2788,0.10596473257390483
4702,15603,0.25138236900727884
6721,7781,0.09892839532712867
8816,11186,0.5398721961251011
